步骤,割值,近似比
0,5.302227,0.883705
1,5.618434,0.936406
2,5.884883,0.980814
3,5.884792,0.980799
4,5.176946,0.862824
5,5.405820,0.900970
6,5.884781,0.980797
7,4.885622,0.814270
8,5.687925,0.947988
9,5.035812,0.839302
10,5.546634,0.924439
11,5.468226,0.911371
12,5.687869,0.947978
13,4.822993,0.803832
14,5.759392,0.959899
15,5.177034,0.862839
16,5.759387,0.959898
17,4.303496,0.717249
18,5.885262,0.980877
19,5.885311,0.980885
20,5.618066,0.936344
21,5.885190,0.980865
22,5.885285,0.980881
23,5.177056,0.862843
24,5.885138,0.980856
25,5.468262,0.911377
26,5.327010,0.887835
27,5.885081,0.980847
28,4.822993,0.803832
29,5.885070,0.980845
30,5.885154,0.980859
31,5.759392,0.959899
32,5.468197,0.911366
33,5.885104,0.980851
34,5.177024,0.862837
35,5.546549,0.924425
36,5.759259,0.959876
37,5.885290,0.980882
38,5.759230,0.959872
39,5.405011,0.900835
40,5.105650,0.850942
41,5.177078,0.862846
42,5.177063,0.862844
43,5.885416,0.980903
44,5.885547,0.980925
45,5.404915,0.900819
46,5.687755,0.947959
47,4.297302,0.716217
48,5.885516,0.980919
49,5.396708,0.899451
50,5.885664,0.980944
51,5.885636,0.980939
52,5.113892,0.852315
53,5.404976,0.900829
54,5.759157,0.959860
55,5.885466,0.980911
56,5.546283,0.924380
57,5.687739,0.947956
58,5.885523,0.980920
59,5.617785,0.936298
60,5.885425,0.980904
61,5.885521,0.980920
62,5.885527,0.980921
63,5.885588,0.980931
64,5.177143,0.862857
65,5.404751,0.900792
66,5.546162,0.924360
67,5.885620,0.980937
68,5.885521,0.980920
69,5.759002,0.959834
70,4.453842,0.742307
71,4.523763,0.753961
72,5.885521,0.980920
73,4.822889,0.803815
74,5.546166,0.924361
75,5.177145,0.862857
76,5.546170,0.924362
77,5.759030,0.959838
78,5.468105,0.911351
79,5.885581,0.980930
80,5.177125,0.862854
81,5.404638,0.900773
82,4.964318,0.827386
83,5.885775,0.980962
84,5.255177,0.875863
85,5.687488,0.947915
86,5.885763,0.980960
87,5.885787,0.980964
88,5.829081,0.971513
89,5.885752,0.980959
90,5.885730,0.980955
91,5.326451,0.887742
92,5.545969,0.924328
93,5.885825,0.980971
94,5.326495,0.887749
95,5.404638,0.900773
96,5.885714,0.980952
97,4.673487,0.778914
98,5.885715,0.980952
99,5.885807,0.980968
100,5.304441,0.884074
101,5.467986,0.911331
102,5.177149,0.862858
103,5.885680,0.980947
104,5.885562,0.980927
105,4.822873,0.803812
106,5.885684,0.980947
107,5.687688,0.947948
108,5.404757,0.900793
109,5.105876,0.850979
110,5.468062,0.911344
111,4.822854,0.803809
112,5.885708,0.980951
113,5.885627,0.980938
114,5.113811,0.852302
