步骤,割值,近似比
0,5.512748,0.918791
1,5.233586,0.872264
2,4.716635,0.786106
3,5.666779,0.944463
4,5.722547,0.953758
5,5.718374,0.953062
6,4.912259,0.818710
7,5.277312,0.879552
8,5.710441,0.951740
9,5.469116,0.911519
10,5.669961,0.944993
11,5.793726,0.965621
12,5.781361,0.963560
13,5.561393,0.926899
14,5.795283,0.965880
15,5.158579,0.859763
16,5.800329,0.966722
17,5.822201,0.970367
18,5.240939,0.873490
19,5.832059,0.972010
20,5.829984,0.971664
21,5.505297,0.917549
22,5.108087,0.851348
23,5.176411,0.862735
24,5.165179,0.860863
25,4.466382,0.744397
26,4.835361,0.805894
27,5.457570,0.909595
28,5.842584,0.973764
29,5.458227,0.909704
30,5.410260,0.901710
31,5.753995,0.958999
32,5.856648,0.976108
33,5.324101,0.887350
34,5.115438,0.852573
35,5.544293,0.924049
36,5.520721,0.920120
37,5.539258,0.923210
38,5.299075,0.883179
39,5.860611,0.976769
40,5.542436,0.923739
41,5.407895,0.901316
42,5.251415,0.875236
43,5.174496,0.862416
44,5.873477,0.978913
45,5.868037,0.978006
46,5.865515,0.977586
47,5.863684,0.977281
48,5.539599,0.923266
49,5.459417,0.909903
50,5.865472,0.977579
51,5.247419,0.874570
52,5.395582,0.899264
53,5.113566,0.852261
54,5.863401,0.977233
55,5.524566,0.920761
56,5.812710,0.968785
57,5.750787,0.958465
58,5.176503,0.862751
59,5.177435,0.862906
60,5.382051,0.897008
61,5.893188,0.982198
62,5.893367,0.982228
63,5.896301,0.982717
64,5.179595,0.863266
65,5.899661,0.983277
66,5.732886,0.955481
67,5.900880,0.983480
68,5.179945,0.863324
69,5.824404,0.970734
70,5.680342,0.946724
71,4.315266,0.719211
72,5.461043,0.910174
73,5.408750,0.901458
74,5.321885,0.886981
75,5.176050,0.862675
76,5.302141,0.883690
77,5.034243,0.839041
78,5.750083,0.958347
79,5.112160,0.852027
80,5.403373,0.900562
81,4.389226,0.731538
82,5.465907,0.910984
83,5.884710,0.980785
84,5.884643,0.980774
85,5.176568,0.862761
86,5.613982,0.935664
87,5.251238,0.875206
88,5.823653,0.970609
89,5.456316,0.909386
90,5.896357,0.982726
