步骤,割值,近似比
0,5.000207,0.833368
1,5.000027,0.833338
2,5.053062,0.842177
3,5.000354,0.833392
4,5.299864,0.883311
5,5.086167,0.847694
6,5.113524,0.852254
7,5.692027,0.948671
8,5.791306,0.965218
9,5.517920,0.919653
10,5.178205,0.863034
11,4.755251,0.792542
12,5.874200,0.979033
13,5.531084,0.921847
14,4.872635,0.812106
15,5.839916,0.973319
16,4.296043,0.716007
17,4.836558,0.806093
18,5.042784,0.840464
19,5.813514,0.968919
20,5.451011,0.908502
21,5.347097,0.891183
22,5.203671,0.867279
23,5.171148,0.861858
24,5.768128,0.961355
25,5.295648,0.882608
26,5.830384,0.971731
27,5.829798,0.971633
28,5.897345,0.982891
29,5.899629,0.983272
30,5.310066,0.885011
31,5.180541,0.863423
32,5.362649,0.893775
33,5.510835,0.918473
34,5.718680,0.953113
35,5.904991,0.984165
36,5.905199,0.984200
37,5.904930,0.984155
38,5.903232,0.983872
39,5.671134,0.945189
40,5.306964,0.884494
41,5.895238,0.982540
42,5.295512,0.882585
43,5.885485,0.980914
44,5.174763,0.862460
45,5.865960,0.977660
46,5.454553,0.909092
47,5.740536,0.956756
48,5.254338,0.875723
49,5.508306,0.918051
50,5.414509,0.902418
51,5.410454,0.901742
52,5.697473,0.949579
53,5.708936,0.951489
54,5.566950,0.927825
55,4.860606,0.810101
56,5.174538,0.862423
57,5.695951,0.949325
58,5.704038,0.950673
59,5.387890,0.897982
60,5.444045,0.907341
61,5.382763,0.897127
62,4.969653,0.828275
63,5.673947,0.945658
64,5.895282,0.982547
65,5.674812,0.945802
66,4.416886,0.736148
67,5.577841,0.929640
68,5.904532,0.984089
69,5.905199,0.984200
70,4.819118,0.803186
71,5.703194,0.950532
72,5.707974,0.951329
73,5.904896,0.984149
74,5.293362,0.882227
75,5.515330,0.919222
76,5.672905,0.945484
77,5.898729,0.983122
78,5.178635,0.863106
79,5.883854,0.980642
80,5.766007,0.961001
81,5.817739,0.969623
82,5.443640,0.907273
83,4.835483,0.805914
84,4.428022,0.738004
85,5.812826,0.968804
86,5.161944,0.860324
87,5.576288,0.929381
88,5.811688,0.968615
89,5.827007,0.971168
90,4.957364,0.826227
91,5.843894,0.973982
92,5.815803,0.969301
93,5.854490,0.975748
94,5.864127,0.977355
95,5.876270,0.979378
96,5.177730,0.862955
97,5.308539,0.884756
98,5.089677,0.848279
99,5.343933,0.890655
100,5.230131,0.871689
101,5.070495,0.845083
102,4.933641,0.822273
103,5.175998,0.862666
104,5.175807,0.862635
105,5.883894,0.980649
106,5.517154,0.919526
107,5.641689,0.940281
108,5.352862,0.892144
109,5.902014,0.983669
110,5.396473,0.899412
111,5.550348,0.925058
112,5.129534,0.854922
113,4.652893,0.775482
114,5.165933,0.860989
115,4.652079,0.775347
116,5.842085,0.973681
117,5.339452,0.889909
118,5.124311,0.854052
119,4.961362,0.826894
120,5.527732,0.921289
121,4.826686,0.804448
122,4.960712,0.826785
123,5.862508,0.977085
124,5.764174,0.960696
125,5.873854,0.978976
126,5.613797,0.935633
127,5.870755,0.978459
128,5.741697,0.956950
129,5.537220,0.922870
130,5.523039,0.920506
131,5.177351,0.862892
132,4.701047,0.783508
133,5.891755,0.981959
134,5.895307,0.982551
135,5.546066,0.924344
136,5.093034,0.848839
137,4.819412,0.803235
138,5.245317,0.874220
139,5.903603,0.983934
140,4.819297,0.803216
141,5.734330,0.955722
142,4.749216,0.791536
143,5.318264,0.886377
144,5.117676,0.852946
145,5.331535,0.888589
146,5.409270,0.901545
147,5.885156,0.980859
148,5.892583,0.982097
149,5.897358,0.982893
150,5.180098,0.863350
151,5.728940,0.954823
152,5.089617,0.848269
153,5.812687,0.968781
154,5.081998,0.847000
155,5.898608,0.983101
156,5.384521,0.897420
157,4.976395,0.829399
158,5.896127,0.982688
159,4.922413,0.820402
160,4.819740,0.803290
161,5.903517,0.983920
162,5.901081,0.983513
163,5.894304,0.982384
164,4.823587,0.803931
165,5.864341,0.977390
166,5.565913,0.927652
167,5.815614,0.969269
168,5.669325,0.944888
169,5.751516,0.958586
170,5.683089,0.947181
171,4.851179,0.808530
172,5.472358,0.912060
173,5.580501,0.930084
174,5.499135,0.916523
175,5.232570,0.872095
176,5.860794,0.976799
177,5.399275,0.899879
178,5.589093,0.931515
179,5.884925,0.980821
180,5.877203,0.979534
181,5.868353,0.978059
182,5.066231,0.844372
183,5.861033,0.976839
184,5.413094,0.902182
185,5.217936,0.869656
186,5.131431,0.855239
187,5.176105,0.862684
188,5.886566,0.981094
189,4.728340,0.788057
190,5.131657,0.855276
191,5.179890,0.863315
192,5.703654,0.950609
193,5.289479,0.881580
194,5.090030,0.848338
195,5.274952,0.879159
196,5.356534,0.892756
197,5.687812,0.947969
198,5.515684,0.919281
199,5.095898,0.849316
200,5.355622,0.892604
201,5.423095,0.903849
202,5.830187,0.971698
203,5.168542,0.861424
204,4.974723,0.829120
205,5.087452,0.847909
206,5.427413,0.904569
207,5.867127,0.977855
208,5.411188,0.901865
209,5.862225,0.977038
210,5.066795,0.844466
211,5.255641,0.875940
212,4.979931,0.829989
213,5.462278,0.910380
214,4.978889,0.829815
215,5.883941,0.980657
216,5.074851,0.845808
217,5.898998,0.983166
218,4.819502,0.803250
219,5.125336,0.854223
220,5.903133,0.983855
221,5.033515,0.838919
222,5.176492,0.862749
223,5.038120,0.839687
224,5.865454,0.977576
225,5.552783,0.925464
226,5.761911,0.960318
227,5.867650,0.977942
228,5.327172,0.887862
229,5.401142,0.900190
230,5.109184,0.851531
231,5.883903,0.980650
232,5.032663,0.838777
233,5.885493,0.980916
234,5.881613,0.980269
235,5.175414,0.862569
236,5.278906,0.879818
237,5.865530,0.977588
238,5.861302,0.976884
239,5.856888,0.976148
240,4.655313,0.775885
241,5.852068,0.975345
242,5.856952,0.976159
243,5.070527,0.845088
244,5.174857,0.862476
245,4.823887,0.803981
246,5.883164,0.980527
247,5.090368,0.848395
248,5.728678,0.954780
249,5.674572,0.945762
250,5.890410,0.981735
251,5.320124,0.886687
252,5.177851,0.862975
253,5.114069,0.852345
254,5.886072,0.981012
255,5.688112,0.948019
256,5.324577,0.887430
257,5.751642,0.958607
258,5.602031,0.933672
259,5.898220,0.983037
260,5.899912,0.983319
261,5.180516,0.863419
262,5.903148,0.983858
263,5.583606,0.930601
264,5.546219,0.924370
265,5.901130,0.983522
266,5.899140,0.983190
267,5.898386,0.983064
268,5.900174,0.983362
269,5.030883,0.838480
270,5.903112,0.983852
271,5.904475,0.984079
272,5.547749,0.924625
273,5.180983,0.863497
274,5.905153,0.984192
275,5.180929,0.863488
276,5.904371,0.984062
277,5.670353,0.945059
278,5.180633,0.863439
279,5.901882,0.983647
280,4.690595,0.781766
281,4.690430,0.781738
282,5.460123,0.910020
283,5.895906,0.982651
284,5.889834,0.981639
285,5.758643,0.959774
286,5.114995,0.852499
287,5.175804,0.862634
288,5.533515,0.922253
289,4.740426,0.790071
290,5.864253,0.977376
291,5.259881,0.876647
292,5.861465,0.976911
293,5.856591,0.976099
294,5.429863,0.904977
295,4.830106,0.805018
296,4.438735,0.739789
297,5.521573,0.920262
298,5.130363,0.855061
299,5.686978,0.947830
300,5.839811,0.973302
301,5.615065,0.935844
302,5.169191,0.861532
303,5.393060,0.898843
304,5.856148,0.976025
305,5.855902,0.975984
306,5.858692,0.976449
307,5.271633,0.878606
308,4.829247,0.804874
309,4.495819,0.749303
310,5.832779,0.972130
311,5.389368,0.898228
312,5.821054,0.970176
313,5.305938,0.884323
314,4.980460,0.830077
315,5.751238,0.958540
316,5.671774,0.945296
317,5.691053,0.948509
318,4.828809,0.804802
319,4.975451,0.829242
320,5.853383,0.975564
321,5.034642,0.839107
322,5.757891,0.959648
323,5.416824,0.902804
324,5.870251,0.978375
325,5.117341,0.852890
326,5.109061,0.851510
327,5.896890,0.982815
328,5.179430,0.863238
329,5.895239,0.982540
330,5.392529,0.898755
331,5.885944,0.980991
332,5.873852,0.978975
333,5.427542,0.904590
334,5.135824,0.855971
335,5.165277,0.860880
336,3.846237,0.641039
337,5.781957,0.963660
338,5.044231,0.840705
339,5.782085,0.963681
340,5.814384,0.969064
341,4.340790,0.723465
342,5.844480,0.974080
343,5.861943,0.976990
344,5.416087,0.902681
345,5.402473,0.900412
346,5.895452,0.982575
347,5.301201,0.883534
348,5.896451,0.982742
349,4.922202,0.820367
350,5.885142,0.980857
351,5.453700,0.908950
352,5.365750,0.894292
353,5.173169,0.862195
354,5.173895,0.862316
355,4.825781,0.804297
356,5.870784,0.978464
357,5.300803,0.883467
358,5.177512,0.862919
