步骤,割值,近似比
0,5.731205,0.955201
1,5.901187,0.983531
2,5.176331,0.862722
3,5.144072,0.857345
4,5.398217,0.899703
5,5.268458,0.878076
6,5.608631,0.934772
7,5.155501,0.859250
8,5.139363,0.856560
9,5.201735,0.866956
10,5.604072,0.934012
11,5.066958,0.844493
12,5.648831,0.941472
13,5.259511,0.876585
14,4.804988,0.800831
15,5.089113,0.848185
16,5.291471,0.881912
17,5.081694,0.846949
18,5.464075,0.910679
19,5.060061,0.843344
20,5.884522,0.980754
21,4.841311,0.806885
22,4.747498,0.791250
23,5.165719,0.860953
24,5.859231,0.976539
25,4.729228,0.788205
26,4.863591,0.810598
27,5.458696,0.909783
28,5.177866,0.862978
29,5.623413,0.937236
30,5.092433,0.848739
31,5.414821,0.902470
32,5.499638,0.916606
33,5.167678,0.861280
34,5.756842,0.959474
35,5.047145,0.841191
36,5.043853,0.840642
37,5.349753,0.891625
38,5.272719,0.878787
39,4.829746,0.804958
40,5.526033,0.921006
41,5.763587,0.960598
42,5.636781,0.939464
43,5.000422,0.833404
44,5.072341,0.845390
45,4.999938,0.833323
46,5.439284,0.906547
47,5.105824,0.850971
48,5.769071,0.961512
49,5.334432,0.889072
50,5.048634,0.841439
51,5.004244,0.834041
52,4.956178,0.826030
53,5.301160,0.883527
54,5.452341,0.908724
55,5.205381,0.867563
56,5.367043,0.894507
57,5.109688,0.851615
58,4.946980,0.824497
59,4.980561,0.830093
60,5.019688,0.836615
61,5.239130,0.873188
62,5.805343,0.967557
63,5.238901,0.873150
64,5.535957,0.922660
65,5.442246,0.907041
66,5.285456,0.880909
67,5.140450,0.856742
68,5.764134,0.960689
69,5.898793,0.983132
70,5.025659,0.837610
71,5.620672,0.936779
72,5.789409,0.964902
73,4.871255,0.811876
74,4.801529,0.800255
75,5.572747,0.928791
76,5.607994,0.934666
77,5.092562,0.848760
78,5.028543,0.838091
79,5.450838,0.908473
80,5.069580,0.844930
81,5.579463,0.929911
82,5.166140,0.861023
83,5.682271,0.947045
84,5.388962,0.898160
85,5.174299,0.862383
86,5.115826,0.852638
87,5.301403,0.883567
88,5.669290,0.944882
89,5.084971,0.847495
90,5.015934,0.835989
91,4.838538,0.806423
92,5.682254,0.947042
93,5.103603,0.850600
94,5.267293,0.877882
95,4.864109,0.810685
96,5.685571,0.947595
97,5.597557,0.932926
98,4.872061,0.812010
99,5.148024,0.858004
100,5.162388,0.860398
101,5.783963,0.963994
102,5.605629,0.934272
103,5.019119,0.836520
104,5.810209,0.968368
105,5.218742,0.869790
106,5.103673,0.850612
107,5.279884,0.879981
108,4.976338,0.829390
109,5.183231,0.863872
110,5.502304,0.917051
111,5.448953,0.908159
112,5.415976,0.902663
113,5.274845,0.879141
114,5.353763,0.892294
115,5.371076,0.895179
116,5.547505,0.924584
117,5.266218,0.877703
118,5.220300,0.870050
119,5.038982,0.839830
120,5.183155,0.863859
121,5.526818,0.921136
122,4.742623,0.790437
123,5.316575,0.886096
124,5.476608,0.912768
125,5.735566,0.955928
126,5.035001,0.839167
127,5.647466,0.941244
128,5.083258,0.847210
129,5.413098,0.902183
130,5.660919,0.943486
131,5.036360,0.839393
132,5.032779,0.838797
133,5.157101,0.859517
134,5.175257,0.862543
135,5.052690,0.842115
136,5.348348,0.891391
137,5.227243,0.871207
138,5.057147,0.842858
139,4.958269,0.826378
140,4.698413,0.783069
141,5.001563,0.833594
142,5.099441,0.849907
143,5.797244,0.966207
144,5.546551,0.924425
145,5.195531,0.865922
146,4.493170,0.748862
147,4.949427,0.824904
148,5.275911,0.879319
149,5.280065,0.880011
150,5.440114,0.906686
151,5.294649,0.882442
152,5.301351,0.883559
153,4.935688,0.822615
154,5.047375,0.841229
155,5.186151,0.864358
156,5.039928,0.839988
157,5.002450,0.833742
158,5.236929,0.872822
159,5.162955,0.860492
160,5.257212,0.876202
161,5.501619,0.916936
162,5.501689,0.916948
163,5.081481,0.846914
164,5.568476,0.928079
165,5.168118,0.861353
166,5.000792,0.833465
167,4.899919,0.816653
168,5.335058,0.889176
169,5.545418,0.924236
170,5.141679,0.856946
171,5.253784,0.875631
172,4.939215,0.823202
173,5.070950,0.845158
174,4.996278,0.832713
175,5.132259,0.855376
176,4.867075,0.811179
177,5.388220,0.898037
178,4.957705,0.826284
179,5.099257,0.849876
180,5.376947,0.896158
181,5.024284,0.837381
182,4.692057,0.782009
183,5.590716,0.931786
184,5.042200,0.840367
185,5.449089,0.908181
186,4.589262,0.764877
187,4.839947,0.806658
188,5.537122,0.922854
189,5.496400,0.916067
190,5.709752,0.951625
191,5.398633,0.899772
192,4.845754,0.807626
193,5.009963,0.834994
194,5.223435,0.870572
195,5.532238,0.922040
196,5.178263,0.863044
197,5.488695,0.914783
198,5.561469,0.926911
199,5.193551,0.865592
200,5.094481,0.849080
201,4.958445,0.826408
202,4.915184,0.819197
203,5.029847,0.838308
204,4.772631,0.795438
205,5.781650,0.963608
206,5.623822,0.937304
207,4.974710,0.829118
208,5.009817,0.834970
209,5.528446,0.921408
210,5.502268,0.917045
211,5.298606,0.883101
212,4.974594,0.829099
213,4.610517,0.768419
214,5.095987,0.849331
215,5.753453,0.958909
216,5.595293,0.932549
217,5.073697,0.845616
218,5.280922,0.880154
219,5.112297,0.852050
220,5.367882,0.894647
221,5.235384,0.872564
222,5.504499,0.917417
223,5.399837,0.899973
224,5.341188,0.890198
225,5.358058,0.893010
226,4.756310,0.792718
227,4.781810,0.796968
228,5.503327,0.917221
229,5.047211,0.841202
230,5.012229,0.835371
231,4.996174,0.832696
232,5.003209,0.833868
233,4.995280,0.832547
234,4.999810,0.833302
235,4.999731,0.833288
236,5.003778,0.833963
237,5.004788,0.834131
238,5.002374,0.833729
239,4.999892,0.833315
240,4.999266,0.833211
241,4.987252,0.831209
242,4.996600,0.832767
243,4.994780,0.832463
244,5.000012,0.833335
245,4.999563,0.833260
246,5.000764,0.833461
247,5.001842,0.833640
248,4.999047,0.833175
249,5.000669,0.833445
250,4.998580,0.833097
251,4.998810,0.833135
252,4.999002,0.833167
253,5.000381,0.833397
254,5.002736,0.833789
255,5.002534,0.833756
256,5.017703,0.836284
257,5.027400,0.837900
258,5.050167,0.841694
259,5.137229,0.856205
260,5.004652,0.834109
261,5.489092,0.914849
262,5.146053,0.857676
263,5.895873,0.982645
264,4.882288,0.813715
265,5.129855,0.854976
266,5.116016,0.852669
267,5.731655,0.955276
268,5.512963,0.918827
269,5.115497,0.852583
270,5.544858,0.924143
271,5.689002,0.948167
272,5.655202,0.942534
273,5.038660,0.839777
274,5.028498,0.838083
275,4.821800,0.803633
276,5.458749,0.909792
277,5.360989,0.893498
278,5.011230,0.835205
279,5.077886,0.846314
280,4.927306,0.821218
281,5.711414,0.951902
282,5.068464,0.844744
283,4.977927,0.829655
284,5.413754,0.902292
285,5.112067,0.852011
286,5.361811,0.893635
287,5.470593,0.911766
288,5.718403,0.953067
289,5.274508,0.879085
290,5.395065,0.899177
291,5.279639,0.879940
292,5.297421,0.882903
293,5.334294,0.889049
294,5.026464,0.837744
295,4.858619,0.809770
296,5.027874,0.837979
297,5.378032,0.896339
298,5.551524,0.925254
299,5.624453,0.937409
300,5.637914,0.939652
301,4.676614,0.779436
302,5.547686,0.924614
303,4.825632,0.804272
304,5.838409,0.973068
305,5.730567,0.955094
306,5.427536,0.904589
307,5.081561,0.846927
308,5.874840,0.979140
309,5.086751,0.847792
310,4.537630,0.756272
311,4.992467,0.832078
312,5.363142,0.893857
313,5.048888,0.841481
314,4.977848,0.829641
315,5.461778,0.910296
316,5.212358,0.868726
317,4.823320,0.803887
318,5.516353,0.919392
319,5.774086,0.962348
320,5.331505,0.888584
321,5.700819,0.950137
322,5.667724,0.944621
323,5.459081,0.909847
324,4.916737,0.819456
325,5.332566,0.888761
326,4.983068,0.830511
327,4.846782,0.807797
328,5.133247,0.855541
329,4.900933,0.816822
330,5.267555,0.877926
331,5.015348,0.835891
332,5.555542,0.925924
333,5.089901,0.848317
334,4.999975,0.833329
335,5.098789,0.849798
336,4.975885,0.829314
337,5.452738,0.908790
338,4.913864,0.818977
339,5.250138,0.875023
340,5.303685,0.883947
341,5.541197,0.923533
342,5.178017,0.863003
343,5.435790,0.905965
344,5.690670,0.948445
345,5.671721,0.945287
346,5.578709,0.929785
347,5.473040,0.912173
348,5.494098,0.915683
349,5.643625,0.940604
350,5.756225,0.959371
351,4.875982,0.812664
352,4.859829,0.809971
353,5.195894,0.865982
354,4.792647,0.798775
355,3.821480,0.636913
356,4.283021,0.713837
357,5.264162,0.877360
358,4.418519,0.736420
359,4.948546,0.824758
360,5.463990,0.910665
361,5.832073,0.972012
362,5.374045,0.895674
363,5.000003,0.833334
364,5.028338,0.838056
365,5.482516,0.913753
366,4.821227,0.803538
367,5.285118,0.880853
368,4.687032,0.781172
369,5.360102,0.893350
370,5.669102,0.944850
371,5.687110,0.947852
372,5.740896,0.956816
373,5.079353,0.846559
374,4.947846,0.824641
375,4.664114,0.777352
376,5.093148,0.848858
377,5.743570,0.957262
378,4.837521,0.806254
379,5.604978,0.934163
380,4.953852,0.825642
381,5.330652,0.888442
382,5.036772,0.839462
383,4.971169,0.828528
384,5.067380,0.844563
385,5.078908,0.846485
386,5.297628,0.882938
387,4.626770,0.771128
388,4.508524,0.751421
389,5.191123,0.865187
390,5.218904,0.869817
391,5.029090,0.838182
392,4.932845,0.822141
393,5.382046,0.897008
394,5.811060,0.968510
395,5.560110,0.926685
396,5.476484,0.912747
397,4.982005,0.830334
398,5.806322,0.967720
399,5.122272,0.853712
400,5.273838,0.878973
401,5.595651,0.932608
402,5.393109,0.898851
403,4.686060,0.781010
404,5.547640,0.924607
405,4.590089,0.765015
406,5.321253,0.886875
407,5.567243,0.927874
408,4.860189,0.810032
409,5.343444,0.890574
410,4.995518,0.832586
411,5.086187,0.847698
412,5.195579,0.865930
413,5.353478,0.892246
414,4.873030,0.812172
415,4.867284,0.811214
416,5.484750,0.914125
417,5.394881,0.899147
418,5.147561,0.857927
419,5.196141,0.866023
420,5.643184,0.940531
421,5.152409,0.858735
422,5.551589,0.925265
423,5.043441,0.840573
424,5.322196,0.887033
425,5.021460,0.836910
426,4.896362,0.816060
427,4.824592,0.804099
428,5.277722,0.879620
429,4.087324,0.681221
430,5.185682,0.864280
431,5.266191,0.877698
432,4.996179,0.832696
433,4.615152,0.769192
434,5.188542,0.864757
435,5.782339,0.963723
436,4.627734,0.771289
437,4.902101,0.817017
438,3.496370,0.582728
439,3.132452,0.522075
440,5.011693,0.835282
441,5.399247,0.899875
442,5.509134,0.918189
443,4.984407,0.830734
444,5.206368,0.867728
445,5.001544,0.833591
446,4.834440,0.805740
447,4.891989,0.815331
448,4.924147,0.820691
449,5.000045,0.833341
450,4.982430,0.830405
451,4.961596,0.826933
452,4.861786,0.810298
453,4.958961,0.826494
454,4.999802,0.833300
455,4.994635,0.832439
456,4.982956,0.830493
457,4.949732,0.824955
458,5.020806,0.836801
459,4.964360,0.827393
460,5.378405,0.896401
461,5.650965,0.941828
462,5.274883,0.879147
463,5.096548,0.849425
464,5.040448,0.840075
465,5.301956,0.883659
466,4.609917,0.768319
467,5.256051,0.876008
468,5.232285,0.872048
469,5.536273,0.922712
470,4.829687,0.804948
471,5.155358,0.859226
472,5.037921,0.839653
473,4.953784,0.825631
474,4.989903,0.831650
475,5.120123,0.853354
476,4.918533,0.819756
477,5.076051,0.846008
478,5.245816,0.874303
479,5.389714,0.898286
480,5.153659,0.858943
481,5.220154,0.870026
482,4.847647,0.807941
483,5.010910,0.835152
484,5.039304,0.839884
485,4.906796,0.817799
486,5.138860,0.856477
487,4.648861,0.774810
488,5.665283,0.944214
489,5.664945,0.944157
490,4.822510,0.803752
491,5.723521,0.953920
492,5.547443,0.924574
493,5.335078,0.889180
494,5.068212,0.844702
495,4.910435,0.818406
496,5.680878,0.946813
497,5.599483,0.933247
498,5.837794,0.972966
499,5.476789,0.912798
