步骤,割值,近似比
0,5.884117,0.980686
1,4.971646,0.828608
2,5.898741,0.983123
3,5.802144,0.967024
4,5.875079,0.979180
5,5.763418,0.960570
6,5.335884,0.889314
7,5.741983,0.956997
8,5.898393,0.983066
9,5.863281,0.977214
10,5.844732,0.974122
11,4.316296,0.719383
12,5.699787,0.949965
13,5.813941,0.968990
14,5.132086,0.855348
15,5.163413,0.860569
16,5.871368,0.978561
17,5.846903,0.974484
18,5.825053,0.970842
19,5.749463,0.958244
20,5.721529,0.953588
21,5.156578,0.859430
22,5.717682,0.952947
23,4.737072,0.789512
24,5.687443,0.947907
25,4.820604,0.803434
26,5.895229,0.982538
27,4.697891,0.782982
28,5.889567,0.981595
29,5.174341,0.862390
30,5.163387,0.860564
31,5.833430,0.972238
32,5.855884,0.975981
33,5.379735,0.896622
34,4.851392,0.808565
35,5.686839,0.947806
36,5.845878,0.974313
37,5.166301,0.861050
38,5.663834,0.943972
39,5.712552,0.952092
40,5.722385,0.953731
41,5.486509,0.914418
42,5.095431,0.849239
43,5.802349,0.967058
44,5.089003,0.848167
45,4.973084,0.828847
46,5.263823,0.877304
47,4.742432,0.790405
48,5.096699,0.849450
49,4.425362,0.737560
50,5.810255,0.968376
51,5.552721,0.925453
52,5.423769,0.903961
53,5.868684,0.978114
54,5.728477,0.954746
55,5.230240,0.871707
56,5.088516,0.848086
57,5.145910,0.857652
58,4.215664,0.702611
59,5.903182,0.983864
60,4.975091,0.829182
61,5.109197,0.851533
62,4.966874,0.827812
63,4.833189,0.805532
64,4.839492,0.806582
65,5.738094,0.956349
66,5.859323,0.976554
67,5.047554,0.841259
68,5.634096,0.939016
69,5.170140,0.861690
70,4.626869,0.771145
71,5.399036,0.899839
72,5.650940,0.941823
73,5.896385,0.982731
74,5.772163,0.962027
75,5.646937,0.941156
76,5.894727,0.982454
77,4.712222,0.785370
78,5.150955,0.858493
79,5.157661,0.859610
80,5.874543,0.979091
81,5.170631,0.861772
82,5.863830,0.977305
83,5.522272,0.920379
84,5.333318,0.888886
85,4.644566,0.774094
86,5.798715,0.966453
87,5.164464,0.860744
88,5.628993,0.938166
89,5.148579,0.858096
90,5.900142,0.983357
91,5.692844,0.948807
92,5.727650,0.954608
93,5.428648,0.904775
94,5.865651,0.977609
95,5.444085,0.907348
96,5.889685,0.981614
97,5.530604,0.921767
98,5.862466,0.977078
99,5.753743,0.958957
100,5.467737,0.911290
101,5.439887,0.906648
102,5.441007,0.906835
103,5.768156,0.961359
104,5.902127,0.983688
105,5.853430,0.975572
106,5.175596,0.862599
107,5.706511,0.951085
108,5.171434,0.861906
109,5.879856,0.979976
110,5.123955,0.853993
111,5.886312,0.981052
112,5.887207,0.981201
113,5.555202,0.925867
114,5.179951,0.863325
115,5.031723,0.838620
116,5.404717,0.900786
117,5.329630,0.888272
118,5.458336,0.909723
119,5.596721,0.932787
120,5.577872,0.929645
121,4.734463,0.789077
122,5.897862,0.982977
123,5.887434,0.981239
124,5.174961,0.862493
125,5.608889,0.934815
126,5.069317,0.844886
127,5.663891,0.943982
128,4.821029,0.803505
129,5.393465,0.898911
130,5.850945,0.975158
131,5.628749,0.938125
132,5.885536,0.980923
133,5.895967,0.982661
134,5.104846,0.850808
135,5.156082,0.859347
136,5.422701,0.903784
137,5.678238,0.946373
138,4.822385,0.803731
139,5.866024,0.977671
140,5.680456,0.946743
141,5.344689,0.890782
142,5.383217,0.897203
143,5.893481,0.982247
144,4.727697,0.787949
145,5.170832,0.861805
146,5.558508,0.926418
147,5.467659,0.911276
148,5.258264,0.876377
149,5.028812,0.838135
150,5.260397,0.876733
151,5.399905,0.899984
152,5.776909,0.962818
153,5.891595,0.981933
154,5.142162,0.857027
155,4.953827,0.825638
156,5.632897,0.938816
157,5.720889,0.953481
158,5.759728,0.959955
